INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,MRF,24-Jun-2021,82000.0,PE,0.0,0.0,0.0,6123.75,6700.85,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,NAUKRI,24-Jun-2021,3100.0,CE,0.0,0.0,0.0,1382.4,1278.55,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,KOTAKBANK,27-May-2021,1880.0,PE,0.0,0.0,0.0,110.6,173.25,0.0,0.0,1600.0,0.0,12-May-2021
OPTSTK,AUBANK,29-Jul-2021,740.0,PE,0.0,0.0,0.0,9.55,23.5,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,AMARAJABAT,24-Jun-2021,970.0,PE,0.0,0.0,0.0,148.05,168.05,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,TATACHEM,24-Jun-2021,590.0,CE,0.0,0.0,0.0,161.0,140.9,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,LALPATHLAB,24-Jun-2021,3350.0,CE,0.0,0.0,0.0,34.8,38.75,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,CIPLA,29-Jul-2021,1080.0,CE,0.0,0.0,0.0,21.45,15.2,0.0,0.0,0.0,0.0,12-May-2021
FUTSTK,GRANULES,29-Jul-2021,0.0,XX,352.85,352.85,339.55,340.8,340.8,18.0,96.09,62000.0,13950.0,12-May-2021
OPTIDX,NIFTY,27-May-2021,16700.0,CE,2.9,2.9,1.75,2.4,2.4,197.0,2467.77,38100.0,225.0,12-May-2021
OPTIDX,NIFTY,03-Jun-2021,12900.0,CE,0.0,0.0,0.0,1592.45,1833.6,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,AUROPHARMA,27-May-2021,1180.0,CE,8.35,8.5,6.0,6.5,6.5,246.0,1898.03,141700.0,-6500.0,12-May-2021
OPTSTK,HDFCBANK,29-Jul-2021,1160.0,PE,0.0,0.0,0.0,12.1,15.55,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,ICICIGI,24-Jun-2021,1820.0,CE,0.0,0.0,0.0,23.2,11.35,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,IRCTC,29-Jul-2021,2380.0,CE,0.0,0.0,0.0,30.45,17.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,MPHASIS,24-Jun-2021,1700.0,PE,0.0,0.0,0.0,54.25,68.05,0.0,0.0,6175.0,0.0,12-May-2021
OPTSTK,TATACHEM,29-Jul-2021,880.0,PE,0.0,0.0,0.0,143.65,171.2,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,ADANIPORTS,27-May-2021,780.0,PE,38.15,51.15,38.15,47.8,47.8,176.0,1813.41,158750.0,-5000.0,12-May-2021
OPTSTK,TITAN,29-Jul-2021,1460.0,CE,0.0,0.0,0.0,155.35,114.25,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,PFC,24-Jun-2021,112.5,PE,0.0,0.0,0.0,10.2,6.2,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,GUJGASLTD,24-Jun-2021,540.0,PE,0.0,0.0,0.0,61.35,43.85,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,TITAN,27-May-2021,1880.0,PE,0.0,0.0,0.0,447.45,422.3,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,SAIL,29-Jul-2021,140.0,PE,0.0,0.0,0.0,33.3,21.15,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,ACC,27-May-2021,1580.0,PE,0.0,0.0,0.0,42.6,0.45,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,SIEMENS,27-May-2021,2100.0,PE,74.0,127.05,65.0,122.25,122.25,340.0,2039.77,11275.0,11275.0,12-May-2021
OPTSTK,MCDOWELL-N,24-Jun-2021,550.0,CE,30.6,30.6,30.6,30.6,35.95,1.0,7.25,1250.0,1250.0,12-May-2021
OPTIDX,FINNIFTY,20-May-2021,16200.0,PE,0.0,0.0,0.0,1154.35,793.35,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,NESTLEIND,27-May-2021,18200.0,PE,0.0,0.0,0.0,2391.7,1515.0,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,GODREJCP,29-Jul-2021,920.0,CE,0.0,0.0,0.0,5.05,55.7,0.0,0.0,0.0,0.0,12-May-2021
OPTSTK,ULTRACEMCO,24-Jun-2021,5700.0,PE,0.0,0.0,0.0,154.15,96.1,0.0,0.0,0.0,0.0,12-May-2021
OPTIDX,BANKNIFTY,29-Jul-2021,37600.0,PE,0.0,0.0,0.0,4955.1,5671.75,0.0,0.0,0.0,0.0,12-May-2021
