INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,25-Aug-2022,0.0,XX,38650.0,39150.0,38622.25,39075.4,39075.4,145863,1417197.5,1124775,-563725,24-AUG-2022,
FUTIDX,BANKNIFTY,29-Sep-2022,0.0,XX,38975.0,39336.7,38811.5,39257.15,39257.15,63649,621430.88,1432575,364800,24-AUG-2022,
FUTIDX,BANKNIFTY,27-Oct-2022,0.0,XX,39063.6,39500.0,38999.0,39420.8,39420.8,4002,39260.01,138900,11900,24-AUG-2022,
FUTIDX,FINNIFTY,30-Aug-2022,0.0,XX,17910.2,18098.9,17825.05,18015.85,18015.85,93,667.75,2000,-280,24-AUG-2022,
FUTIDX,FINNIFTY,27-Sep-2022,0.0,XX,17936.45,18100.05,17936.45,18079.95,18079.95,21,151.55,1880,120,24-AUG-2022,
FUTIDX,FINNIFTY,25-Oct-2022,0.0,XX,18092.35,18432.75,18092.35,18432.75,18432.75,2,14.61,360,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,30-Aug-2022,0.0,XX,7110.0,7448.95,7110.0,7416.95,7416.95,5,27.55,150,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,06-Sep-2022,0.0,XX,0.0,0.0,0.0,6451.1,7370.25,0,0.0,0,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,13-Sep-2022,0.0,XX,0.0,0.0,0.0,6632.55,7378.1,0,0.0,0,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,20-Sep-2022,0.0,XX,0.0,0.0,0.0,6864.2,7386.0,0,0.0,0,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,27-Sep-2022,0.0,XX,7200.0,7546.9,7200.0,7546.9,7546.9,3,16.72,150,75,24-AUG-2022,
FUTIDX,MIDCPNIFTY,04-Oct-2022,0.0,XX,0.0,0.0,0.0,7277.15,7402.85,0,0.0,0,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,11-Oct-2022,0.0,XX,0.0,0.0,0.0,7301.5,7410.9,0,0.0,0,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,18-Oct-2022,0.0,XX,0.0,0.0,0.0,7458.3,7419.0,0,0.0,0,0,24-AUG-2022,
FUTIDX,MIDCPNIFTY,25-Oct-2022,0.0,XX,7990.0,8090.0,7597.75,7599.25,7599.25,7,41.21,300,300,24-AUG-2022,
FUTIDX,MIDCPNIFTY,01-Nov-2022,0.0,XX,0.0,0.0,0.0,7414.9,7435.2,0,0.0,0,0,24-AUG-2022,
FUTIDX,NIFTY,25-Aug-2022,0.0,XX,17552.1,17635.3,17495.0,17617.25,17617.25,192084,1688040.52,4731900,-2561250,24-AUG-2022,
FUTIDX,NIFTY,29-Sep-2022,0.0,XX,17731.0,17731.0,17575.0,17699.25,17699.25,116862,1031957.66,8412900,2108450,24-AUG-2022,
FUTIDX,NIFTY,27-Oct-2022,0.0,XX,17725.35,17770.0,17641.6,17757.35,17757.35,6920,61306.38,639850,3650,24-AUG-2022,
FUTSTK,AARTIIND,25-Aug-2022,0.0,XX,798.3,798.3,777.85,787.65,787.65,1750,11684.71,698700,-538050,24-AUG-2022,
FUTSTK,AARTIIND,29-Sep-2022,0.0,XX,801.15,801.15,780.0,790.8,790.8,2036,13630.55,2224450,124950,24-AUG-2022,
FUTSTK,AARTIIND,27-Oct-2022,0.0,XX,796.1,796.1,782.2,791.3,791.3,39,261.31,79050,8500,24-AUG-2022,
