TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-20,2026-01-20,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,16398.0,17000.0,16398.0,16833.0,16800.01,16077.82,,16833.0,,,250,4187747.02,97,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,16754.31,17100.0,16703.0,17061.15,17100.0,16424.81,,17061.15,,,237,3996825.92,111,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,16500.0,16899.99,16500.0,16823.96,16801.0,16410.15,,16826.46,,,1543,25867704.74,300,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,16601.0,17000.0,16601.0,16944.14,16947.0,16501.5,,16944.14,,,331,5597624.4,94,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,16703.0,16849.99,16700.0,16837.12,16803.0,16527.77,,16837.12,,,248,4164542.39,85,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,16977.0,16999.0,16800.0,16895.53,16990.0,16613.23,,16890.42,,,656,11075006.42,185,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,16877.0,16988.99,16312.0,16872.66,16850.0,16682.64,,16869.91,,,234,3951144.01,113,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,16487.96,16650.78,16380.74,16650.78,16650.78,16139.8,,16798.0,,,55,906487.83,36,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,16352.0,16949.0,16352.0,16742.2,16535.4,16350.0,,16742.2,,,4,66188.4,4,F1,1,,,,,
2026-01-20,2026-01-20,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,16500.0,16893.26,16500.0,16754.0,16754.0,16499.0,,16754.0,,,20,335560.96,13,F1,1,,,,,
