TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-06,2026-02-06,FO,NSE,STO,75775,,ABCAPITAL,,2026-03-30,2026-03-30,305.0,PE,ABCAPITAL26MAR305PE,0.0,0.0,0.0,4.65,0.0,4.65,347.75,2.2,0,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,57429,,ABCAPITAL,,2026-02-24,2026-02-24,405.0,CE,ABCAPITAL26FEB405CE,0.0,0.0,0.0,5.35,0.0,5.35,347.75,0.15,0,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,69436,,ABCAPITAL,,2026-02-24,2026-02-24,390.0,CE,ABCAPITAL26FEB390CE,1.3,1.3,0.75,1.1,1.05,1.3,347.75,1.1,694400,9300,334,404745300.0,252,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,69425,,ABCAPITAL,,2026-02-24,2026-02-24,370.0,CE,ABCAPITAL26FEB370CE,3.45,3.55,2.0,3.3,3.25,3.6,347.75,3.3,1683300,0,982,1134619065.0,675,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STF,59190,,ABCAPITAL,,2026-02-24,2026-02-24,,,ABCAPITAL26FEBFUT,341.6,349.5,335.3,348.2,348.0,345.1,347.75,348.2,80017200,663400,3855,4094173410.0,3527,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,75780,,ABCAPITAL,,2026-03-30,2026-03-30,325.0,CE,ABCAPITAL26MAR325CE,0.0,0.0,0.0,37.05,0.0,37.05,347.75,31.5,0,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,57404,,ABCAPITAL,,2026-02-24,2026-02-24,335.0,PE,ABCAPITAL26FEB335PE,7.15,10.85,4.75,5.4,5.25,7.25,347.75,5.4,440200,-167400,582,617694530.0,537,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,57605,,ABCAPITAL,,2026-03-30,2026-03-30,350.0,PE,ABCAPITAL26MAR350PE,0.0,0.0,0.0,17.0,17.0,17.0,347.75,16.05,24800,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,57617,,ABCAPITAL,,2026-03-30,2026-03-30,390.0,PE,ABCAPITAL26MAR390PE,0.0,0.0,0.0,46.85,46.85,46.85,347.75,43.45,6200,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,75791,,ABCAPITAL,,2026-03-30,2026-03-30,345.0,PE,ABCAPITAL26MAR345PE,19.45,19.45,13.0,13.0,13.0,17.65,347.75,13.0,6200,6200,2,2239595.0,2,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,75787,,ABCAPITAL,,2026-03-30,2026-03-30,325.0,PE,ABCAPITAL26MAR325PE,0.0,0.0,0.0,9.75,0.0,9.75,347.75,6.2,0,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,57412,,ABCAPITAL,,2026-02-24,2026-02-24,365.0,PE,ABCAPITAL26FEB365PE,0.0,0.0,0.0,23.0,23.0,23.0,347.75,20.0,65100,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,76103,,ABCAPITAL,,2026-04-28,2026-04-28,370.0,CE,ABCAPITAL26APR370CE,0.0,0.0,0.0,19.5,0.0,19.5,347.75,13.15,0,0,0,0.0,0,F1,3100,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,57576,,ABCAPITAL,,2026-03-30,2026-03-30,320.0,CE,ABCAPITAL26MAR320CE,0.0,0.0,0.0,33.0,33.0,33.0,347.75,35.15,9300,0,0,0.0,0,F1,3100,,,,,
