TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-21,2026-09-21,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15475.0,15475.0,15105.11,15120.0,15120.0,15168.14,,15120.0,,,73,1106635.75,17,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15150.0,15269.99,15150.0,15165.85,15160.0,15202.0,,15165.85,,,64,971068.36,17,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15195.0,15245.0,15165.1,15216.37,15224.0,15243.18,,15199.03,,,248,3773777.17,41,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15161.0,15229.99,15130.0,15130.0,15130.0,15160.82,,15102.63,,,54,818560.05,18,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15110.2,15193.99,15110.0,15133.5,15115.0,15214.29,,15133.5,,,89,1346808.9,24,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15180.0,15180.0,15070.0,15102.45,15071.0,15171.22,,15100.36,,,102,1542184.38,47,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15200.02,15399.99,15200.02,15225.72,15225.0,15250.25,,15225.72,,,352,5362833.95,19,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15250.0,15251.0,15250.0,15251.0,15251.0,15250.0,,15216.91,,,6,91503.0,2,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15150.0,15150.0,15150.0,15150.0,15150.0,15025.0,,15300.0,,,12,181800.0,1,F1,1,,,,,
2026-09-21,2026-09-21,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15024.5,15400.0,15001.0,15001.0,15001.0,15100.0,,15050.5,,,10,151124.49,6,F1,1,,,,,
