INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,31-Mar-2022,0.0,XX,35749.0,35867.8,34811.5,35041.1,35041.1,221100,1947399.96,2665425,401375,03-MAR-2022,
FUTIDX,BANKNIFTY,28-Apr-2022,0.0,XX,35670.7,36000.0,34958.5,35088.25,35088.25,15873,139923.15,928750,89200,03-MAR-2022,
FUTIDX,BANKNIFTY,26-May-2022,0.0,XX,35855.1,36121.85,35102.05,35277.4,35277.4,5225,46273.13,786525,61100,03-MAR-2022,
FUTIDX,FINNIFTY,29-Mar-2022,0.0,XX,16716.35,16739.3,16305.0,16366.75,16366.75,39,257.66,2760,280,03-MAR-2022,
FUTIDX,FINNIFTY,26-Apr-2022,0.0,XX,16604.5,16604.5,16420.65,16420.65,16461.3,8,53.02,680,-160,03-MAR-2022,
FUTIDX,FINNIFTY,31-May-2022,0.0,XX,16422.75,16422.75,16230.5,16230.5,16230.5,2,13.06,40,40,03-MAR-2022,
FUTIDX,MIDCPNIFTY,08-Mar-2022,0.0,XX,6952.1,6952.1,6952.05,6952.05,6919.25,2,10.42,150,75,03-MAR-2022,
FUTIDX,MIDCPNIFTY,15-Mar-2022,0.0,XX,0.0,0.0,0.0,7594.1,6924.65,0,0.0,0,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,22-Mar-2022,0.0,XX,0.0,0.0,0.0,7369.95,6930.05,0,0.0,75,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,29-Mar-2022,0.0,XX,6971.0,6971.0,6900.15,6900.15,6900.15,5,26.03,1425,75,03-MAR-2022,
FUTIDX,MIDCPNIFTY,05-Apr-2022,0.0,XX,0.0,0.0,0.0,7655.4,6941.8,0,0.0,0,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,12-Apr-2022,0.0,XX,0.0,0.0,0.0,7447.95,6947.4,0,0.0,0,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,19-Apr-2022,0.0,XX,0.0,0.0,0.0,7363.45,6953.0,0,0.0,0,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,26-Apr-2022,0.0,XX,6988.0,6988.0,6814.9,6814.9,6814.9,2,10.35,150,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,02-May-2022,0.0,XX,0.0,0.0,0.0,7060.05,6963.45,0,0.0,0,0,03-MAR-2022,
FUTIDX,MIDCPNIFTY,31-May-2022,0.0,XX,7014.5,7014.5,7014.5,7014.5,6986.8,1,5.26,75,0,03-MAR-2022,
FUTIDX,NIFTY,31-Mar-2022,0.0,XX,16741.0,16769.75,16445.1,16505.6,16505.6,236528,1962214.77,12650600,107400,03-MAR-2022,
FUTIDX,NIFTY,28-Apr-2022,0.0,XX,16800.0,16864.65,16501.25,16556.15,16556.15,12314,102516.81,1936650,63450,03-MAR-2022,
FUTIDX,NIFTY,26-May-2022,0.0,XX,16807.1,16860.0,16550.0,16599.1,16599.1,2598,21679.18,1061150,16950,03-MAR-2022,
FUTSTK,AARTIIND,31-Mar-2022,0.0,XX,917.0,918.7,875.05,883.95,883.95,1358,10269.98,2300950,95200,03-MAR-2022,
FUTSTK,AARTIIND,28-Apr-2022,0.0,XX,906.0,908.05,874.55,881.7,881.7,48,361.91,81600,11050,03-MAR-2022,
FUTSTK,AARTIIND,26-May-2022,0.0,XX,892.0,892.0,878.0,882.75,882.75,5,37.64,9350,3400,03-MAR-2022,
FUTSTK,ABB,31-Mar-2022,0.0,XX,2197.0,2241.65,2155.1,2166.85,2166.85,609,3361.65,320500,-5000,03-MAR-2022,
FUTSTK,ABB,28-Apr-2022,0.0,XX,2177.0,2181.15,2161.2,2172.4,2172.4,7,38.02,9000,500,03-MAR-2022,
FUTSTK,ABB,26-May-2022,0.0,XX,0.0,0.0,0.0,2067.2,2180.5,0,0.0,0,0,03-MAR-2022,
FUTSTK,ABBOTINDIA,31-Mar-2022,0.0,XX,17209.35,17474.95,17180.0,17412.95,17412.95,504,2188.35,34000,-1250,03-MAR-2022,
