INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTIDX,NIFTY,25-Jun-2026,14000.0,CE,0.0,0.0,0.0,5657.55,6965.1,0.0,0.0,0.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,18000.0,CE,4000.0,4000.0,4000.0,4000.0,4493.6,2.0,22.0,350.0,100.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,13000.0,CE,0.0,0.0,0.0,6127.95,7672.35,0.0,0.0,0.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,21000.0,CE,0.0,0.0,0.0,3881.9,3086.7,0.0,0.0,0.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,20000.0,CE,0.0,0.0,0.0,3829.5,3511.35,0.0,0.0,0.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,15000.0,CE,0.0,0.0,0.0,5184.4,6289.35,0.0,0.0,0.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,19000.0,CE,0.0,0.0,0.0,4908.35,3980.45,0.0,0.0,100.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,12000.0,CE,0.0,0.0,0.0,7938.05,8405.5,0.0,0.0,50.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,14000.0,PE,0.0,0.0,0.0,750.0,197.2,0.0,0.0,50.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,20000.0,PE,0.0,0.0,0.0,3159.75,1459.0,0.0,0.0,0.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,21000.0,PE,0.0,0.0,0.0,3065.6,1820.25,0.0,0.0,0.0,0.0,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,17000.0,CE,0.0,0.0,0.0,4348.25,5050.85,0.0,0.0,0.0,0.0,13-Feb-2023
