TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-12-31,2025-12-31,FO,NSE,STO,61487,,ABCAPITAL,,2026-01-27,2026-01-27,350.0,PE,ABCAPITAL26JAN350PE,9.0,9.1,5.1,5.55,6.05,9.6,357.7,5.55,1233800,-148800,834,921740825.0,762,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57603,,ABCAPITAL,,2026-03-30,2026-03-30,340.0,PE,ABCAPITAL26MAR340PE,0.0,0.0,0.0,19.25,0.0,19.25,357.7,12.45,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,69442,,ABCAPITAL,,2026-02-24,2026-02-24,400.0,PE,ABCAPITAL26FEB400PE,0.0,0.0,0.0,59.5,0.0,59.5,357.7,44.3,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,69434,,ABCAPITAL,,2026-02-24,2026-02-24,380.0,PE,ABCAPITAL26FEB380PE,0.0,0.0,0.0,44.95,0.0,44.95,357.7,29.35,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,69330,,ABCAPITAL,,2026-02-24,2026-02-24,320.0,PE,ABCAPITAL26FEB320PE,0.0,0.0,0.0,13.55,0.0,13.55,357.7,3.7,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,61469,,ABCAPITAL,,2026-01-27,2026-01-27,280.0,PE,ABCAPITAL26JAN280PE,0.45,0.65,0.15,0.15,0.15,0.75,357.7,0.05,18600,-3100,12,10427470.0,8,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57606,,ABCAPITAL,,2026-03-30,2026-03-30,360.0,CE,ABCAPITAL26MAR360CE,0.0,0.0,0.0,23.95,0.0,23.95,357.7,23.7,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57602,,ABCAPITAL,,2026-03-30,2026-03-30,340.0,CE,ABCAPITAL26MAR340CE,0.0,0.0,0.0,33.6,0.0,33.6,357.7,34.7,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,69425,,ABCAPITAL,,2026-02-24,2026-02-24,370.0,CE,ABCAPITAL26FEB370CE,0.0,0.0,0.0,19.35,0.0,19.35,357.7,13.7,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,69388,,ABCAPITAL,,2026-02-24,2026-02-24,340.0,CE,ABCAPITAL26FEB340CE,0.0,0.0,0.0,32.3,0.0,32.3,357.7,29.35,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,69332,,ABCAPITAL,,2026-02-24,2026-02-24,330.0,PE,ABCAPITAL26FEB330PE,0.0,0.0,0.0,17.35,0.0,17.35,357.7,5.9,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,69411,,ABCAPITAL,,2026-02-24,2026-02-24,350.0,PE,ABCAPITAL26FEB350PE,10.2,10.2,10.0,10.0,10.0,13.55,357.7,10.0,83700,31000,10,11162945.0,5,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57416,,ABCAPITAL,,2026-02-24,2026-02-24,385.0,PE,ABCAPITAL26FEB385PE,0.0,0.0,0.0,41.5,0.0,41.5,357.7,32.85,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57609,,ABCAPITAL,,2026-03-30,2026-03-30,360.0,PE,ABCAPITAL26MAR360PE,0.0,0.0,0.0,29.3,0.0,29.3,357.7,21.2,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57575,,ABCAPITAL,,2026-03-30,2026-03-30,310.0,PE,ABCAPITAL26MAR310PE,0.0,0.0,0.0,8.7,0.0,8.7,357.7,4.4,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,61482,,ABCAPITAL,,2026-01-27,2026-01-27,330.0,CE,ABCAPITAL26JAN330CE,27.0,32.8,27.0,32.05,30.6,25.6,357.7,32.05,155000,3100,11,12280960.0,11,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,61472,,ABCAPITAL,,2026-01-27,2026-01-27,300.0,CE,ABCAPITAL26JAN300CE,58.65,59.95,56.6,59.85,59.85,50.8,357.7,59.1,843200,-3100,84,93201345.0,50,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,61488,,ABCAPITAL,,2026-01-27,2026-01-27,360.0,CE,ABCAPITAL26JAN360CE,6.55,10.85,6.3,10.0,9.35,6.3,357.7,10.0,1878600,306900,2567,2940008845.0,2394,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,61492,,ABCAPITAL,,2026-01-27,2026-01-27,380.0,CE,ABCAPITAL26JAN380CE,2.0,3.7,2.0,3.25,3.05,1.95,357.7,3.25,703700,-15500,838,995252210.0,675,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57391,,ABCAPITAL,,2026-02-24,2026-02-24,325.0,CE,ABCAPITAL26FEB325CE,0.0,0.0,0.0,36.55,0.0,36.55,357.7,40.1,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STF,51724,,ABCAPITAL,,2026-03-30,2026-03-30,,,ABCAPITAL26MARFUT,363.4,365.65,361.2,365.65,365.65,354.55,357.7,365.65,34100,34100,12,13493060.0,12,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,61491,,ABCAPITAL,,2026-01-27,2026-01-27,370.0,PE,ABCAPITAL26JAN370PE,17.85,18.45,14.65,15.6,16.3,22.5,357.7,15.6,195300,99200,103,123457810.0,99,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,61473,,ABCAPITAL,,2026-01-27,2026-01-27,300.0,PE,ABCAPITAL26JAN300PE,0.4,0.4,0.3,0.3,0.3,0.45,357.7,0.2,176700,24800,20,18621390.0,19,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57614,,ABCAPITAL,,2026-03-30,2026-03-30,390.0,CE,ABCAPITAL26MAR390CE,0.0,0.0,0.0,13.65,0.0,13.65,357.7,12.25,0,0,0,0.0,0,F1,3100,,,,,
2025-12-31,2025-12-31,FO,NSE,STO,57610,,ABCAPITAL,,2026-03-30,2026-03-30,370.0,CE,ABCAPITAL26MAR370CE,0.0,0.0,0.0,20.0,0.0,20.0,357.7,19.25,0,0,0,0.0,0,F1,3100,,,,,
